cell_id	parent_id	cell_type	cell_type_name	x	y	angle	shape_path	size_scale	cell_cycle_phase	ecDNA_count	ecDNA_cargo	O2_local	glucose_local	is_hypoxic	is_quiescent	generation	time_born_hr	migration_rate	VEGF_secretion
108	-1	4	Endothelial	363	232	3.9767	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9506	S	0		37.15	3.3013	False	False	0	0.0	10.00	0.00
109	-1	4	Endothelial	368	225	1.2717	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1649	G1	0		37.57	3.3741	False	False	0	0.0	10.00	0.00
110	-1	4	Endothelial	380	225	3.8603	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9682	S	0		37.44	3.3902	False	False	0	0.0	10.00	0.00
111	-1	4	Endothelial	392	225	0.5309	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.3034	G1	0		37.72	3.2945	False	False	0	0.0	10.00	0.00
112	-1	4	Endothelial	371	199	6.0248	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9888	G1	0		37.22	3.4670	False	False	0	0.0	10.00	0.00
113	-1	4	Endothelial	421	217	4.9174	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.2519	G1	0		37.14	3.3549	False	False	0	0.0	10.00	0.00
114	-1	4	Endothelial	429	186	1.5921	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8310	G1	0		35.00	2.4029	False	False	0	0.0	10.00	0.00
115	-1	4	Endothelial	473	281	3.8715	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8881	G1	0		35.85	2.5754	False	False	0	0.0	10.00	0.00
116	-1	4	Endothelial	414	234	3.5967	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1926	S	0		36.64	3.0746	False	False	0	0.0	10.00	0.00
117	-1	4	Endothelial	459	206	4.7999	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0507	G1	0		36.96	3.3656	False	False	0	0.0	10.00	0.00
118	-1	4	Endothelial	483	218	3.7674	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.2694	S	0		36.93	3.1374	False	False	0	0.0	10.00	0.00
