step	total_cells	tumor_cells	necrotic_cells	immune_cells	mean_O2_mmHg	min_O2_mmHg	mean_glucose_mM	max_VEGF_nM	mean_lactate_mM
176	65589	3063	231	0	15.8418	0.0000	2.9533	2.2556	2.8846
177	65650	3123	238	0	15.7982	0.0000	2.9423	2.2514	2.9051
178	65714	3187	244	0	15.7448	0.0000	2.9317	2.2424	2.9276
179	65756	3230	250	0	15.6913	0.0000	2.9195	2.2274	2.9517
180	65807	3282	257	0	15.6549	0.0000	2.9129	2.2164	2.9744
181	65877	3359	257	0	15.6099	0.0000	2.9019	2.2126	2.9972
182	65922	3412	257	0	15.5437	0.0000	2.8877	2.2079	3.0232
183	65983	3469	264	0	15.4975	0.0000	2.8800	2.1963	3.0489
184	66033	3519	276	0	15.4483	0.0000	2.8702	2.1864	3.0746
185	66080	3567	282	0	15.4070	0.0000	2.8631	2.1779	3.0994
186	66123	3613	284	0	15.3670	0.0000	2.8548	2.1740	3.1232
187	66181	3671	292	0	15.3301	0.0000	2.8460	2.1606	3.1460
188	66249	3745	295	0	15.2839	0.0000	2.8377	2.1507	3.1693
189	66322	3816	306	0	15.2266	0.0000	2.8246	2.1540	3.1950
190	66385	3890	305	0	15.1686	0.0000	2.8120	2.1349	3.2221
191	66454	3962	311	0	15.1136	0.0000	2.8001	2.1444	3.2502
192	66517	4037	308	0	15.0620	0.0000	2.7869	2.1227	3.2780
193	66589	4111	314	0	15.0083	0.0000	2.7763	2.1117	3.3062
194	66646	4167	324	0	14.9518	0.0000	2.7642	2.1128	3.3350
195	66721	4239	339	0	14.9133	0.0000	2.7558	2.1079	3.3616
196	66785	4305	347	0	14.8617	0.0000	2.7419	2.1001	3.3883
197	66838	4365	351	0	14.8189	0.0000	2.7321	2.0850	3.4136
198	66905	4433	359	0	14.7778	0.0000	2.7220	2.0849	3.4378
199	66985	4506	371	0	14.7304	0.0000	2.7121	2.0803	3.4624
200	67070	4589	381	0	14.6792	0.0000	2.6980	2.0708	3.4876
201	67157	4679	393	0	14.6213	0.0000	2.6853	2.0560	3.5142
202	67238	4763	400	0	14.5626	0.0000	2.6713	2.0469	3.5421
203	67339	4862	406	0	14.5081	0.0000	2.6602	2.0201	3.5703
204	67432	4949	419	0	14.4460	0.0000	2.6461	2.0095	3.6002
205	67538	5058	428	0	14.3890	0.0000	2.6329	1.9781	3.6300
206	67651	5165	441	0	14.3180	0.0000	2.6160	1.9671	3.6623
207	67736	5254	446	0	14.2482	0.0000	2.6008	1.9432	3.6957
208	67825	5335	459	0	14.1894	0.0000	2.5886	1.9343	3.7283
209	67917	5418	475	0	14.1393	0.0000	2.5764	1.9102	3.7592
210	68001	5506	485	0	14.0855	0.0000	2.5649	1.8878	3.7892
211	68097	5601	501	0	14.0317	0.0000	2.5532	1.8833	3.8190
212	68196	5693	515	0	13.9736	0.0000	2.5395	1.8701	3.8488
213	68297	5796	531	0	13.9195	0.0000	2.5263	1.8372	3.8780
214	68410	5905	544	0	13.8618	0.0000	2.5121	1.8291	3.9080
215	68535	6020	563	0	13.7994	0.0000	2.4987	1.8151	3.9385
216	68631	6102	582	0	13.7375	0.0000	2.4833	1.8094	3.9699
217	68730	6190	603	0	13.6891	0.0000	2.4723	1.7960	3.9987
218	68847	6303	617	0	13.6416	0.0000	2.4608	1.7882	4.0259
219	68943	6395	633	0	13.5856	0.0000	2.4450	1.7735	4.0536
220	69065	6519	639	0	13.5395	0.0000	2.4339	1.7633	4.0795
221	69213	6661	651	0	13.4811	0.0000	2.4184	1.7612	4.1069
222	69354	6799	658	0	13.4096	0.0000	2.3999	1.7537	4.1377
223	69482	6922	671	0	13.3429	0.0000	2.3845	1.7619	4.1697
224	69609	7042	685	0	13.2803	0.0000	2.3693	1.7597	4.2019
225	69752	7180	697	0	13.2218	0.0000	2.3562	1.7527	4.2334
226	69894	7328	701	0	13.1574	0.0000	2.3416	1.7452	4.2660
227	70055	7484	716	0	13.0869	0.0000	2.3266	1.7415	4.3008
228	70214	7620	746	0	13.0142	0.0000	2.3089	1.7272	4.3375
229	70359	7756	768	0	12.9534	0.0000	2.2937	1.7108	4.3723
230	70540	7928	784	0	12.8923	0.0000	2.2797	1.6918	4.4059
231	70736	8116	796	0	12.8120	0.0000	2.2604	1.6829	4.4431
232	70937	8303	817	0	12.7256	0.0000	2.2417	1.6729	4.4834
233	71119	8461	847	0	12.6530	0.0000	2.2234	1.6585	4.5232
234	71331	8657	873	0	12.5932	0.0000	2.2073	1.6293	4.5596
235	71520	8844	884	0	12.5175	0.0000	2.1891	1.6190	4.5974
236	71720	9024	910	0	12.4443	0.0000	2.1722	1.5908	4.6358
237	71899	9186	937	0	12.3803	0.0000	2.1555	1.6164	4.6727
238	72075	9354	954	0	12.3175	0.0000	2.1396	1.6351	4.7073
239	72272	9545	970	0	12.2490	0.0000	2.1252	1.6650	4.7419
240	72484	9731	1003	0	12.1836	0.0000	2.1089	1.7300	4.7769
241	72699	9939	1021	0	12.1234	0.0000	2.0914	1.8072	4.8100
242	72941	10166	1043	0	12.0464	0.0000	2.0737	1.8578	4.8451
243	73173	10382	1066	0	11.9685	0.0000	2.0553	1.9302	4.8821
244	73407	10606	1089	0	11.8929	0.0000	2.0383	1.9970	4.9194
245	73651	10827	1116	0	11.8202	0.0000	2.0214	2.0672	4.9572
246	73887	11052	1138	0	11.7510	0.0000	2.0048	2.1388	4.9940
247	74119	11266	1168	0	11.6757	0.0000	1.9876	2.1886	5.0323
248	74363	11488	1201	0	11.6070	0.0000	1.9701	2.2464	5.0690
249	74625	11733	1227	0	11.5393	0.0000	1.9547	2.3191	5.1048
250	74871	11959	1258	0	11.4703	0.0000	1.9381	2.3727	5.1407
251	75132	12206	1282	0	11.4065	0.0000	1.9222	2.4534	5.1751
252	75422	12479	1309	0	11.3376	0.0000	1.9052	2.4951	5.2102
253	75709	12751	1334	0	11.2652	0.0000	1.8863	2.5659	5.2461
254	76008	13050	1346	0	11.1884	0.0000	1.8693	2.6287	5.2835
255	76314	13334	1386	0	11.1020	0.0000	1.8501	2.7083	5.3240
256	76642	13662	1398	0	11.0329	0.0000	1.8339	2.7685	5.3632
257	76982	13981	1427	0	10.9437	0.0000	1.8138	2.8336	5.4063
258	77311	14293	1451	0	10.8625	0.0000	1.7942	2.8818	5.4496
259	77643	14603	1485	0	10.7871	0.0000	1.7769	2.9390	5.4917
260	77981	14911	1523	0	10.7117	0.0000	1.7573	3.0062	5.5330
261	78323	15231	1553	0	10.6351	0.0000	1.7391	3.0693	5.5734
262	78672	15549	1597	0	10.5658	0.0000	1.7207	3.1302	5.6122
263	79014	15860	1641	0	10.4949	0.0000	1.7033	3.1857	5.6501
264	79357	16178	1676	0	10.4269	0.0000	1.6851	3.2609	5.6865
265	79759	16558	1705	0	10.3564	0.0000	1.6687	3.3225	5.7228
266	80153	16926	1740	0	10.2744	0.0000	1.6494	3.3964	5.7627
267	80533	17271	1787	0	10.1986	0.0000	1.6294	3.4742	5.8027
268	80922	17626	1833	0	10.1272	0.0000	1.6125	3.5253	5.8413
269	81287	17957	1874	0	10.0587	0.0000	1.5945	3.6001	5.8782
270	81701	18349	1907	0	9.9992	0.0000	1.5783	3.6429	5.9122
271	82092	18697	1968	0	9.9240	0.0000	1.5606	3.7295	5.9483
272	82494	19065	2016	0	9.8579	0.0000	1.5431	3.7608	5.9820
273	82928	19471	2061	0	9.7839	0.0000	1.5271	3.8194	6.0166
274	83335	19859	2094	0	9.7008	0.0000	1.5086	3.8862	6.0548
275	83807	20317	2120	0	9.6276	0.0000	1.4913	3.9489	6.0924
276	84267	20740	2166	0	9.5399	0.0000	1.4715	3.9972	6.1344
277	84708	21144	2213	0	9.4679	0.0000	1.4540	4.0451	6.1741
278	85211	21620	2250	0	9.3908	0.0000	1.4359	4.1097	6.2137
279	85651	22019	2302	0	9.3040	0.0000	1.4160	4.1557	6.2563
280	86136	22480	2344	0	9.2420	0.0000	1.4006	4.2163	6.2936
281	86593	22882	2417	0	9.1687	0.0000	1.3829	4.2368	6.3316
282	87104	23354	2467	0	9.1117	0.0000	1.3686	4.2699	6.3641
283	87624	23855	2495	0	9.0367	0.0000	1.3507	4.3117	6.3990
284	88100	24307	2544	0	8.9528	0.0000	1.3317	4.3525	6.4379
285	88590	24777	2573	0	8.8819	0.0000	1.3161	4.3812	6.4758
286	89106	25262	2613	0	8.8061	0.0000	1.2987	4.4203	6.5153
287	89626	25749	2656	0	8.7316	0.0000	1.2818	4.4424	6.5556
288	90154	26234	2715	0	8.6522	0.0000	1.2644	4.4677	6.5973
289	90667	26693	2785	0	8.5791	0.0000	1.2487	4.4645	6.6378
290	91173	27172	2827	0	8.5166	0.0000	1.2340	4.4946	6.6743
291	91661	27622	2880	0	8.4464	0.0000	1.2185	4.5349	6.7108
292	92172	28065	2955	0	8.3848	0.0000	1.2046	4.5421	6.7445
293	92683	28532	3011	0	8.3308	0.0000	1.1922	4.5532	6.7740
294	93192	28991	3076	0	8.2704	0.0000	1.1785	4.5776	6.8033
295	93706	29480	3118	0	8.2109	0.0000	1.1648	4.6241	6.8315
296	94219	29981	3155	0	8.1404	0.0000	1.1509	4.6530	6.8634
297	94709	30428	3205	0	8.0703	0.0000	1.1367	4.6756	6.8980
298	95259	30940	3257	0	8.0152	0.0000	1.1239	4.7268	6.9296
299	95765	31431	3289	0	7.9476	0.0000	1.1101	4.7345	6.9631
300	96255	31888	3343	0	7.8822	0.0000	1.0969	4.7610	6.9969
